Código;Descripción;Categoría;Nombre de Archivo;URL Sin Fondo;URL Con Fondo
400009;Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_540_20;ALIMENTOS;400009_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_540_20.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400009_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_540_20.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400009_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_540_20.png
400104;Lilac_Caricia_de_Seda_Jabon_Lilac_Seda_330_g;CUIDADO PERSONAL;400104_Lilac_Caricia_de_Seda_Jabon_Lilac_Seda_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400104_Lilac_Caricia_de_Seda_Jabon_Lilac_Seda_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400104_Lilac_Caricia_de_Seda_Jabon_Lilac_Seda_330_g.png
400105;Lilac_Fresca_Primavera_Jabon_Lilac_Primavera_330_g;CUIDADO PERSONAL;400105_Lilac_Fresca_Primavera_Jabon_Lilac_Primavera_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400105_Lilac_Fresca_Primavera_Jabon_Lilac_Primavera_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400105_Lilac_Fresca_Primavera_Jabon_Lilac_Primavera_330_g.png
400109;Lilac_Dulce_Amanecer_Jabon_Lilac_Amanecer_330_g;CUIDADO PERSONAL;400109_Lilac_Dulce_Amanecer_Jabon_Lilac_Amanecer_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400109_Lilac_Dulce_Amanecer_Jabon_Lilac_Amanecer_330_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400109_Lilac_Dulce_Amanecer_Jabon_Lilac_Amanecer_330_g.png
400117;Espumil_500_g_Explosion_Flores_500_g;CUIDADO DEL HOGAR;400117_Espumil_500_g_Explosion_Flores_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400117_Espumil_500_g_Explosion_Flores_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400117_Espumil_500_g_Explosion_Flores_500_g.png
400118;Espumil_500_g_Explosion_Citrica_500_g;CUIDADO DEL HOGAR;400118_Espumil_500_g_Explosion_Citrica_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400118_Espumil_500_g_Explosion_Citrica_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400118_Espumil_500_g_Explosion_Citrica_500_g.png
400119;Espumil_500_g_Explosion_Frescura_500_g;CUIDADO DEL HOGAR;400119_Espumil_500_g_Explosion_Frescura_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400119_Espumil_500_g_Explosion_Frescura_500_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400119_Espumil_500_g_Explosion_Frescura_500_g.png
400123;Vinagre_balsamico_Betis_Vinagre_balsamico_8_5_oz;ALIMENTOS;400123_Vinagre_balsamico_Betis_Vinagre_balsamico_8_5_oz.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400123_Vinagre_balsamico_Betis_Vinagre_balsamico_8_5_oz.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400123_Vinagre_balsamico_Betis_Vinagre_balsamico_8_5_oz.png
400136;Espumil_5_kg_Explosion_Citrica_5_kg;CUIDADO DEL HOGAR;400136_Espumil_5_kg_Explosion_Citrica_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400136_Espumil_5_kg_Explosion_Citrica_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400136_Espumil_5_kg_Explosion_Citrica_5_kg.png
400145;Espumil_1_kg_Explosion_Flores_1_kg;CUIDADO DEL HOGAR;400145_Espumil_1_kg_Explosion_Flores_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400145_Espumil_1_kg_Explosion_Flores_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400145_Espumil_1_kg_Explosion_Flores_1_kg.png
400146;Espumil_1_kg_Explosion_Citrica_1_kg;CUIDADO DEL HOGAR;400146_Espumil_1_kg_Explosion_Citrica_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400146_Espumil_1_kg_Explosion_Citrica_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400146_Espumil_1_kg_Explosion_Citrica_1_kg.png
400147;Espumil_1_kg_Explosion_Frescura_1_kg;CUIDADO DEL HOGAR;400147_Espumil_1_kg_Explosion_Frescura_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400147_Espumil_1_kg_Explosion_Frescura_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400147_Espumil_1_kg_Explosion_Frescura_1_kg.png
400150;Espumil_2_kg_Explosion_Flores_2_kg;CUIDADO DEL HOGAR;400150_Espumil_2_kg_Explosion_Flores_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400150_Espumil_2_kg_Explosion_Flores_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400150_Espumil_2_kg_Explosion_Flores_2_kg.png
400152;Espumil_2_kg_Explosion_Citrica_2_kg;CUIDADO DEL HOGAR;400152_Espumil_2_kg_Explosion_Citrica_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400152_Espumil_2_kg_Explosion_Citrica_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400152_Espumil_2_kg_Explosion_Citrica_2_kg.png
400156;Espumil_5_kg_Explosion_Flores_5_kg;CUIDADO DEL HOGAR;400156_Espumil_5_kg_Explosion_Flores_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400156_Espumil_5_kg_Explosion_Flores_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400156_Espumil_5_kg_Explosion_Flores_5_kg.png
400159;Klinpiax_Limon_Lavaplatos_crema_limon_425_g;CUIDADO DEL HOGAR;400159_Klinpiax_Limon_Lavaplatos_crema_limon_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400159_Klinpiax_Limon_Lavaplatos_crema_limon_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400159_Klinpiax_Limon_Lavaplatos_crema_limon_425_g.png
400160;Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_425_g;CUIDADO DEL HOGAR;400160_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400160_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400160_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_425_g.png
400161;Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_425_g;CUIDADO DEL HOGAR;400161_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400161_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_425_g.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400161_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_425_g.png
400164;Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_1_kg;CUIDADO DEL HOGAR;400164_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400164_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400164_Klinpiax_Citrus_Mango_Lavaplatos_crema_mango_1_kg.png
400165;Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_1_kg;CUIDADO DEL HOGAR;400165_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400165_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400165_Klinpiax_Frutos_Rojos_Lavaplatos_crema_frutos_rojos_1_kg.png
400167;Klinpiax_Limon_Lavaplatos_crema_limon_1_kg;CUIDADO DEL HOGAR;400167_Klinpiax_Limon_Lavaplatos_crema_limon_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400167_Klinpiax_Limon_Lavaplatos_crema_limon_1_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400167_Klinpiax_Limon_Lavaplatos_crema_limon_1_kg.png
400168;Klinpiax_Limon_Lavaplatos_liquido_limon_750_ml;CUIDADO DEL HOGAR;400168_Klinpiax_Limon_Lavaplatos_liquido_limon_750_ml.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400168_Klinpiax_Limon_Lavaplatos_liquido_limon_750_ml.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400168_Klinpiax_Limon_Lavaplatos_liquido_limon_750_ml.png
400183;Espumil_2_kg_Explosion_Frescura_2_kg;CUIDADO DEL HOGAR;400183_Espumil_2_kg_Explosion_Frescura_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400183_Espumil_2_kg_Explosion_Frescura_2_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400183_Espumil_2_kg_Explosion_Frescura_2_kg.png
400184;Espumil_5_kg_Explosion_Frescura_5_kg;CUIDADO DEL HOGAR;400184_Espumil_5_kg_Explosion_Frescura_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400184_Espumil_5_kg_Explosion_Frescura_5_kg.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400184_Espumil_5_kg_Explosion_Frescura_5_kg.png
